parameter_name,parameter_scope,source_class,value,unit,location,source_detail,notes
inertia_coeff,segment:S2,assumption,0.3,-,q1_segment_params.csv,reserved_dynamic_extension,节段转动惯量代理系数，目前作为扩展接口预留。
mass_ratio,segment:S3,derived,0.0385,ratio,q1_segment_params.csv,derived_from_mass_partition,10 刚体节段质量比例。
mass_kg,segment:S3,derived,1.617,kg,q1_segment_params.csv,derived_from_mass_partition,按总质量乘节段比例得到。
length_m,segment:S3,derived,0.3384,m,q1_segment_params.csv,derived_from_length_partition,按单臂或单腿长度比例推导。
com_local_ratio,segment:S3,assumption,0.436,ratio,q1_segment_params.csv,uniform_rigid_body_assumption,节段质心在局部长度上的比例位置。
inertia_coeff,segment:S3,assumption,0.33,-,q1_segment_params.csv,reserved_dynamic_extension,节段转动惯量代理系数，目前作为扩展接口预留。
mass_ratio,segment:S4,derived,0.0385,ratio,q1_segment_params.csv,derived_from_mass_partition,10 刚体节段质量比例。
mass_kg,segment:S4,derived,1.617,kg,q1_segment_params.csv,derived_from_mass_partition,按总质量乘节段比例得到。
length_m,segment:S4,derived,0.3384,m,q1_segment_params.csv,derived_from_length_partition,按单臂或单腿长度比例推导。
com_local_ratio,segment:S4,assumption,0.436,ratio,q1_segment_params.csv,uniform_rigid_body_assumption,节段质心在局部长度上的比例位置。
inertia_coeff,segment:S4,assumption,0.33,-,q1_segment_params.csv,reserved_dynamic_extension,节段转动惯量代理系数，目前作为扩展接口预留。
mass_ratio,segment:S5,derived,0.0315,ratio,q1_segment_params.csv,derived_from_mass_partition,10 刚体节段质量比例。
mass_kg,segment:S5,derived,1.323,kg,q1_segment_params.csv,derived_from_mass_partition,按总质量乘节段比例得到。
length_m,segment:S5,derived,0.3816,m,q1_segment_params.csv,derived_from_length_partition,按单臂或单腿长度比例推导。
com_local_ratio,segment:S5,assumption,0.43,ratio,q1_segment_params.csv,uniform_rigid_body_assumption,节段质心在局部长度上的比例位置。
inertia_coeff,segment:S5,assumption,0.33,-,q1_segment_params.csv,reserved_dynamic_extension,节段转动惯量代理系数，目前作为扩展接口预留。
mass_ratio,segment:S6,derived,0.0315,ratio,q1_segment_params.csv,derived_from_mass_partition,10 刚体节段质量比例。
mass_kg,segment:S6,derived,1.323,kg,q1_segment_params.csv,derived_from_mass_partition,按总质量乘节段比例得到。
length_m,segment:S6,derived,0.3816,m,q1_segment_params.csv,derived_from_length_partition,按单臂或单腿长度比例推导。
com_local_ratio,segment:S6,assumption,0.43,ratio,q1_segment_params.csv,uniform_rigid_body_assumption,节段质心在局部长度上的比例位置。
inertia_coeff,segment:S6,assumption,0.33,-,q1_segment_params.csv,reserved_dynamic_extension,节段转动惯量代理系数，目前作为扩展接口预留。
mass_ratio,segment:S7,derived,0.081,ratio,q1_segment_params.csv,derived_from_mass_partition,10 刚体节段质量比例。
mass_kg,segment:S7,derived,3.402,kg,q1_segment_params.csv,derived_from_mass_partition,按总质量乘节段比例得到。
length_m,segment:S7,derived,0.3707,m,q1_segment_params.csv,derived_from_length_partition,按单臂或单腿长度比例推导。
com_local_ratio,segment:S7,assumption,0.433,ratio,q1_segment_params.csv,uniform_rigid_body_assumption,节段质心在局部长度上的比例位置。
inertia_coeff,segment:S7,assumption,0.33,-,q1_segment_params.csv,reserved_dynamic_extension,节段转动惯量代理系数，目前作为扩展接口预留。
mass_ratio,segment:S8,derived,0.081,ratio,q1_segment_params.csv,derived_from_mass_partition,10 刚体节段质量比例。
mass_kg,segment:S8,derived,3.402,kg,q1_segment_params.csv,derived_from_mass_partition,按总质量乘节段比例得到。
length_m,segment:S8,derived,0.3707,m,q1_segment_params.csv,derived_from_length_partition,按单臂或单腿长度比例推导。
com_local_ratio,segment:S8,assumption,0.433,ratio,q1_segment_params.csv,uniform_rigid_body_assumption,节段质心在局部长度上的比例位置。
inertia_coeff,segment:S8,assumption,0.33,-,q1_segment_params.csv,reserved_dynamic_extension,节段转动惯量代理系数，目前作为扩展接口预留。
mass_ratio,segment:S9,derived,0.069,ratio,q1_segment_params.csv,derived_from_mass_partition,10 刚体节段质量比例。
mass_kg,segment:S9,derived,2.898,kg,q1_segment_params.csv,derived_from_mass_partition,按总质量乘节段比例得到。
length_m,segment:S9,derived,0.3158,m,q1_segment_params.csv,derived_from_length_partition,按单臂或单腿长度比例推导。
com_local_ratio,segment:S9,assumption,0.433,ratio,q1_segment_params.csv,uniform_rigid_body_assumption,节段质心在局部长度上的比例位置。
inertia_coeff,segment:S9,assumption,0.33,-,q1_segment_params.csv,reserved_dynamic_extension,节段转动惯量代理系数，目前作为扩展接口预留。
mass_ratio,segment:S10,derived,0.069,ratio,q1_segment_params.csv,derived_from_mass_partition,10 刚体节段质量比例。
mass_kg,segment:S10,derived,2.898,kg,q1_segment_params.csv,derived_from_mass_partition,按总质量乘节段比例得到。
length_m,segment:S10,derived,0.3158,m,q1_segment_params.csv,derived_from_length_partition,按单臂或单腿长度比例推导。
com_local_ratio,segment:S10,assumption,0.433,ratio,q1_segment_params.csv,uniform_rigid_body_assumption,节段质心在局部长度上的比例位置。
inertia_coeff,segment:S10,assumption,0.33,-,q1_segment_params.csv,reserved_dynamic_extension,节段转动惯量代理系数，目前作为扩展接口预留。
support_margin_ratio,support_mode:double_support,assumption,1.0,ratio,q1_support_mode_config.csv,support_mode_assumption,不同支撑模式对基础稳定裕度的缩减比例。
zmp_bias_coeff,support_mode:double_support,assumption,0.0,-,q1_support_mode_config.csv,support_mode_assumption,不同支撑模式下对动态 ZMP 偏移的附加偏置。
support_margin_ratio,support_mode:dynamic_double_support,assumption,0.85,ratio,q1_support_mode_config.csv,support_mode_assumption,不同支撑模式对基础稳定裕度的缩减比例。
zmp_bias_coeff,support_mode:dynamic_double_support,assumption,0.08,-,q1_support_mode_config.csv,support_mode_assumption,不同支撑模式下对动态 ZMP 偏移的附加偏置。
support_margin_ratio,support_mode:single_support,assumption,0.55,ratio,q1_support_mode_config.csv,support_mode_assumption,不同支撑模式对基础稳定裕度的缩减比例。
zmp_bias_coeff,support_mode:single_support,assumption,0.25,-,q1_support_mode_config.csv,support_mode_assumption,不同支撑模式下对动态 ZMP 偏移的附加偏置。
support_margin_ratio,support_mode:quasi_single_support,assumption,0.65,ratio,q1_support_mode_config.csv,support_mode_assumption,不同支撑模式对基础稳定裕度的缩减比例。
zmp_bias_coeff,support_mode:quasi_single_support,assumption,0.15,-,q1_support_mode_config.csv,support_mode_assumption,不同支撑模式下对动态 ZMP 偏移的附加偏置。
support_margin_ratio,support_mode:single_support_rotational,assumption,0.4,ratio,q1_support_mode_config.csv,support_mode_assumption,不同支撑模式对基础稳定裕度的缩减比例。
zmp_bias_coeff,support_mode:single_support_rotational,assumption,0.4,-,q1_support_mode_config.csv,support_mode_assumption,不同支撑模式下对动态 ZMP 偏移的附加偏置。
support_margin_ratio,support_mode:recovery_transition,assumption,0.3,ratio,q1_support_mode_config.csv,support_mode_assumption,不同支撑模式对基础稳定裕度的缩减比例。
zmp_bias_coeff,support_mode:recovery_transition,assumption,0.5,-,q1_support_mode_config.csv,support_mode_assumption,不同支撑模式下对动态 ZMP 偏移的附加偏置。
coordination_efficiency,action:A01,assumption,0.7,-,q1_attack_actions.csv,方法一协同效率设定,动作数值源表中的动作层建模设定。
active_joint_count,action:A01,assumption,2,count,q1_attack_actions.csv,动作链计数,动作数值源表中的动作层建模设定。
theta_total_deg,action:A01,assumption,50.0,deg,q1_attack_actions.csv,题解动作角度设定,动作数值源表中的动作层建模设定。
exec_time_s,action:A01,assumption,0.3,s,q1_attack_actions.csv,题解执行时间设定,动作数值源表中的动作层建模设定。
p_target_geo,action:A01,assumption,0.76,ratio,q1_attack_actions.csv,题解几何覆盖设定,动作数值源表中的动作层建模设定。
coordination_efficiency,action:A02,assumption,0.72,-,q1_attack_actions.csv,方法一协同效率设定,动作数值源表中的动作层建模设定。
active_joint_count,action:A02,assumption,2,count,q1_attack_actions.csv,动作链计数,动作数值源表中的动作层建模设定。
theta_total_deg,action:A02,assumption,70.0,deg,q1_attack_actions.csv,题解动作角度设定,动作数值源表中的动作层建模设定。
exec_time_s,action:A02,assumption,0.45,s,q1_attack_actions.csv,题解执行时间设定,动作数值源表中的动作层建模设定。
p_target_geo,action:A02,assumption,0.74,ratio,q1_attack_actions.csv,题解几何覆盖设定,动作数值源表中的动作层建模设定。
coordination_efficiency,action:A03,assumption,0.68,-,q1_attack_actions.csv,方法一协同效率设定,动作数值源表中的动作层建模设定。
active_joint_count,action:A03,assumption,4,count,q1_attack_actions.csv,动作链计数,动作数值源表中的动作层建模设定。
theta_total_deg,action:A03,assumption,100.0,deg,q1_attack_actions.csv,题解动作角度设定,动作数值源表中的动作层建模设定。
exec_time_s,action:A03,assumption,0.8,s,q1_attack_actions.csv,题解执行时间设定,动作数值源表中的动作层建模设定。
p_target_geo,action:A03,assumption,0.76,ratio,q1_attack_actions.csv,题解几何覆盖设定,动作数值源表中的动作层建模设定。
coordination_efficiency,action:A04,assumption,0.78,-,q1_attack_actions.csv,方法一协同效率设定,动作数值源表中的动作层建模设定。
active_joint_count,action:A04,assumption,3,count,q1_attack_actions.csv,动作链计数,动作数值源表中的动作层建模设定。
theta_total_deg,action:A04,assumption,150.0,deg,q1_attack_actions.csv,题解动作角度设定,动作数值源表中的动作层建模设定。
exec_time_s,action:A04,assumption,0.55,s,q1_attack_actions.csv,题解执行时间设定,动作数值源表中的动作层建模设定。
p_target_geo,action:A04,assumption,0.72,ratio,q1_attack_actions.csv,题解几何覆盖设定,动作数值源表中的动作层建模设定。
coordination_efficiency,action:A05,assumption,0.75,-,q1_attack_actions.csv,方法一协同效率设定,动作数值源表中的动作层建模设定。
active_joint_count,action:A05,assumption,2,count,q1_attack_actions.csv,动作链计数,动作数值源表中的动作层建模设定。
theta_total_deg,action:A05,assumption,90.0,deg,q1_attack_actions.csv,题解动作角度设定,动作数值源表中的动作层建模设定。
exec_time_s,action:A05,assumption,0.6,s,q1_attack_actions.csv,题解执行时间设定,动作数值源表中的动作层建模设定。
p_target_geo,action:A05,assumption,0.74,ratio,q1_attack_actions.csv,题解几何覆盖设定,动作数值源表中的动作层建模设定。
coordination_efficiency,action:A06,assumption,0.8,-,q1_attack_actions.csv,方法一协同效率设定,动作数值源表中的动作层建模设定。
active_joint_count,action:A06,assumption,2,count,q1_attack_actions.csv,动作链计数,动作数值源表中的动作层建模设定。
theta_total_deg,action:A06,assumption,120.0,deg,q1_attack_actions.csv,题解动作角度设定,动作数值源表中的动作层建模设定。
exec_time_s,action:A06,assumption,0.65,s,q1_attack_actions.csv,题解执行时间设定,动作数值源表中的动作层建模设定。
p_target_geo,action:A06,assumption,0.74,ratio,q1_attack_actions.csv,题解几何覆盖设定,动作数值源表中的动作层建模设定。
coordination_efficiency,action:A07,assumption,0.82,-,q1_attack_actions.csv,方法一协同效率设定,动作数值源表中的动作层建模设定。
active_joint_count,action:A07,assumption,3,count,q1_attack_actions.csv,动作链计数,动作数值源表中的动作层建模设定。
theta_total_deg,action:A07,assumption,380.0,deg,q1_attack_actions.csv,题解动作角度设定,动作数值源表中的动作层建模设定。
exec_time_s,action:A07,assumption,0.85,s,q1_attack_actions.csv,题解执行时间设定,动作数值源表中的动作层建模设定。
p_target_geo,action:A07,assumption,0.72,ratio,q1_attack_actions.csv,题解几何覆盖设定,动作数值源表中的动作层建模设定。
coordination_efficiency,action:A08,assumption,0.7,-,q1_attack_actions.csv,方法一协同效率设定,动作数值源表中的动作层建模设定。
active_joint_count,action:A08,assumption,2,count,q1_attack_actions.csv,动作链计数,动作数值源表中的动作层建模设定。
theta_total_deg,action:A08,assumption,60.0,deg,q1_attack_actions.csv,题解动作角度设定,动作数值源表中的动作层建模设定。
exec_time_s,action:A08,assumption,0.5,s,q1_attack_actions.csv,题解执行时间设定,动作数值源表中的动作层建模设定。
p_target_geo,action:A08,assumption,0.6,ratio,q1_attack_actions.csv,题解几何覆盖设定,动作数值源表中的动作层建模设定。
coordination_efficiency,action:A09,assumption,0.9,-,q1_attack_actions.csv,方法一协同效率设定,动作数值源表中的动作层建模设定。
active_joint_count,action:A09,assumption,1,count,q1_attack_actions.csv,动作链计数,动作数值源表中的动作层建模设定。
theta_total_deg,action:A09,assumption,70.0,deg,q1_attack_actions.csv,题解动作角度设定,动作数值源表中的动作层建模设定。
exec_time_s,action:A09,assumption,0.35,s,q1_attack_actions.csv,题解执行时间设定,动作数值源表中的动作层建模设定。
p_target_geo,action:A09,assumption,0.8,ratio,q1_attack_actions.csv,题解几何覆盖设定,动作数值源表中的动作层建模设定。
coordination_efficiency,action:A10,assumption,0.65,-,q1_attack_actions.csv,方法一协同效率设定,动作数值源表中的动作层建模设定。
active_joint_count,action:A10,assumption,4,count,q1_attack_actions.csv,动作链计数,动作数值源表中的动作层建模设定。
theta_total_deg,action:A10,assumption,140.0,deg,q1_attack_actions.csv,题解动作角度设定,动作数值源表中的动作层建模设定。
exec_time_s,action:A10,assumption,1.1,s,q1_attack_actions.csv,题解执行时间设定,动作数值源表中的动作层建模设定。
p_target_geo,action:A10,assumption,0.82,ratio,q1_attack_actions.csv,题解几何覆盖设定,动作数值源表中的动作层建模设定。
coordination_efficiency,action:A11,assumption,0.62,-,q1_attack_actions.csv,方法一协同效率设定,动作数值源表中的动作层建模设定。
active_joint_count,action:A11,assumption,10,count,q1_attack_actions.csv,动作链计数,动作数值源表中的动作层建模设定。
theta_total_deg,action:A11,assumption,450.0,deg,q1_attack_actions.csv,题解动作角度设定,动作数值源表中的动作层建模设定。
exec_time_s,action:A11,assumption,1.7,s,q1_attack_actions.csv,题解执行时间设定,动作数值源表中的动作层建模设定。
p_target_geo,action:A11,assumption,0.74,ratio,q1_attack_actions.csv,题解几何覆盖设定,动作数值源表中的动作层建模设定。
coordination_efficiency,action:A12,assumption,0.85,-,q1_attack_actions.csv,方法一协同效率设定,动作数值源表中的动作层建模设定。
active_joint_count,action:A12,assumption,4,count,q1_attack_actions.csv,动作链计数,动作数值源表中的动作层建模设定。
theta_total_deg,action:A12,assumption,,deg,q1_attack_actions.csv,相位表角位移求和回退,动作数值源表中的动作层建模设定。
exec_time_s,action:A12,assumption,0.75,s,q1_attack_actions.csv,题解执行时间设定,动作数值源表中的动作层建模设定。
p_target_geo,action:A12,assumption,0.8,ratio,q1_attack_actions.csv,题解几何覆盖设定,动作数值源表中的动作层建模设定。
coordination_efficiency,action:A13,assumption,0.5,-,q1_attack_actions.csv,方法一协同效率设定,动作数值源表中的动作层建模设定。
active_joint_count,action:A13,assumption,6,count,q1_attack_actions.csv,动作链计数,动作数值源表中的动作层建模设定。
theta_total_deg,action:A13,assumption,,deg,q1_attack_actions.csv,相位表角位移求和回退,动作数值源表中的动作层建模设定。
exec_time_s,action:A13,assumption,1.9,s,q1_attack_actions.csv,题解执行时间设定,动作数值源表中的动作层建模设定。
p_target_geo,action:A13,assumption,0.72,ratio,q1_attack_actions.csv,题解几何覆盖设定,动作数值源表中的动作层建模设定。
laterality,template:A01,assumption,unilateral_upper,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
conditional_flag,template:A01,assumption,0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
trigger_state,template:A01,assumption,standing,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_mode,template:A01,assumption,double_support,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
phase_count,template:A01,assumption,1,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
main_plane,template:A01,assumption,sagittal,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
range_tag,template:A01,assumption,mid,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
rotation_complexity,template:A01,assumption,0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_switch_count,template:A01,assumption,0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
translation_distance_m,template:A01,assumption,0.0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
active_segments_json,template:A01,assumption,"[""S2"", ""S4"", ""S6""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_segments_json,template:A01,assumption,"[""S7"", ""S8"", ""S9"", ""S10""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
strike_segments_json,template:A01,assumption,"[""S6""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
impact_weight_json,template:A01,assumption,"{""S2"": 0.15, ""S4"": 0.25, ""S6"": 0.6}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
stability_weight_json,template:A01,assumption,"{""S2"": 0.5, ""S4"": 0.2, ""S6"": 0.3}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
theta_share_json,template:A01,assumption,"{""S2"": 0.1, ""S4"": 0.35, ""S6"": 0.55}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
laterality,template:A02,assumption,unilateral_upper,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
conditional_flag,template:A02,assumption,0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
trigger_state,template:A02,assumption,standing,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_mode,template:A02,assumption,double_support,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
phase_count,template:A02,assumption,1,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
main_plane,template:A02,assumption,transverse,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
range_tag,template:A02,assumption,close,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
rotation_complexity,template:A02,assumption,1,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_switch_count,template:A02,assumption,0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
translation_distance_m,template:A02,assumption,0.0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
active_segments_json,template:A02,assumption,"[""S2"", ""S4"", ""S6""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_segments_json,template:A02,assumption,"[""S7"", ""S8"", ""S9"", ""S10""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
strike_segments_json,template:A02,assumption,"[""S6""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
impact_weight_json,template:A02,assumption,"{""S2"": 0.25, ""S4"": 0.25, ""S6"": 0.5}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
stability_weight_json,template:A02,assumption,"{""S2"": 0.55, ""S4"": 0.15, ""S6"": 0.3}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
theta_share_json,template:A02,assumption,"{""S2"": 0.25, ""S4"": 0.3, ""S6"": 0.45}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
laterality,template:A03,assumption,bilateral_upper,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
conditional_flag,template:A03,assumption,0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
trigger_state,template:A03,assumption,standing,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_mode,template:A03,assumption,double_support,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
phase_count,template:A03,assumption,2,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
main_plane,template:A03,assumption,multi_plane,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
range_tag,template:A03,assumption,close,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
rotation_complexity,template:A03,assumption,1,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_switch_count,template:A03,assumption,0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
translation_distance_m,template:A03,assumption,0.0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
active_segments_json,template:A03,assumption,"[""S2"", ""S3"", ""S5"", ""S4"", ""S6""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_segments_json,template:A03,assumption,"[""S7"", ""S8"", ""S9"", ""S10""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
strike_segments_json,template:A03,assumption,"[""S5"", ""S6""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
impact_weight_json,template:A03,assumption,"{""S2"": 0.15, ""S3"": 0.1, ""S5"": 0.25, ""S4"": 0.1, ""S6"": 0.4}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
stability_weight_json,template:A03,assumption,"{""S2"": 0.4, ""S3"": 0.1, ""S5"": 0.2, ""S4"": 0.1, ""S6"": 0.2}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
theta_share_json,template:A03,assumption,"{""S2"": 0.1, ""S3"": 0.15, ""S5"": 0.25, ""S4"": 0.15, ""S6"": 0.35}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
laterality,template:A04,assumption,unilateral_upper,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
conditional_flag,template:A04,assumption,0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
trigger_state,template:A04,assumption,standing,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_mode,template:A04,assumption,double_support,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
phase_count,template:A04,assumption,1,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
main_plane,template:A04,assumption,transverse,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
range_tag,template:A04,assumption,mid,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
rotation_complexity,template:A04,assumption,2,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_switch_count,template:A04,assumption,0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
translation_distance_m,template:A04,assumption,0.0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
active_segments_json,template:A04,assumption,"[""S2"", ""S4"", ""S6""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_segments_json,template:A04,assumption,"[""S7"", ""S8"", ""S9"", ""S10""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
strike_segments_json,template:A04,assumption,"[""S6""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
impact_weight_json,template:A04,assumption,"{""S2"": 0.35, ""S4"": 0.2, ""S6"": 0.45}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
stability_weight_json,template:A04,assumption,"{""S2"": 0.65, ""S4"": 0.1, ""S6"": 0.25}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
theta_share_json,template:A04,assumption,"{""S2"": 0.35, ""S4"": 0.25, ""S6"": 0.4}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
laterality,template:A05,assumption,unilateral_lower,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
conditional_flag,template:A05,assumption,0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
trigger_state,template:A05,assumption,standing,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_mode,template:A05,assumption,single_support,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
phase_count,template:A05,assumption,1,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
main_plane,template:A05,assumption,sagittal,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
range_tag,template:A05,assumption,mid,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
rotation_complexity,template:A05,assumption,1,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_switch_count,template:A05,assumption,0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
translation_distance_m,template:A05,assumption,0.0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
active_segments_json,template:A05,assumption,"[""S2"", ""S8"", ""S10""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_segments_json,template:A05,assumption,"[""S7"", ""S9""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
strike_segments_json,template:A05,assumption,"[""S10""]",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
impact_weight_json,template:A05,assumption,"{""S2"": 0.15, ""S8"": 0.3, ""S10"": 0.55}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
stability_weight_json,template:A05,assumption,"{""S2"": 0.5, ""S8"": 0.2, ""S10"": 0.3}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
theta_share_json,template:A05,assumption,"{""S2"": 0.1, ""S8"": 0.35, ""S10"": 0.55}",-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
laterality,template:A06,assumption,unilateral_lower,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
conditional_flag,template:A06,assumption,0,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
trigger_state,template:A06,assumption,standing,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
support_mode,template:A06,assumption,single_support,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
phase_count,template:A06,assumption,1,-,q1_action_templates.csv,action_structure_template,动作结构模板字段。
